epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3066,1.92553,3.8679,2.09171,0.2919,0.26493,0.12198,0.06661,1.472,3.05426,1.82861,0.0671493,0.000331825,0.000331825
2,129.161,1.19934,2.53636,1.425,0.18941,0.38295,0.16818,0.12221,1.138,2.53935,1.48296,0.0341427,0.000658573,0.000658573
3,187.629,1.02549,2.18339,1.30025,0.23714,0.40347,0.22785,0.17266,0.98582,2.16745,1.33443,0.00112955,0.000978722,0.000978722
4,246.118,0.96244,2.03984,1.24286,0.22743,0.43717,0.26217,0.19663,0.92482,1.92081,1.26804,0.0009703,0.0009703,0.0009703
5,304.705,0.90657,1.90662,1.21643,0.2679,0.49466,0.30214,0.23456,0.86868,1.80374,1.20502,0.0009604,0.0009604,0.0009604
6,363.777,0.86034,1.83318,1.17914,0.33139,0.45778,0.34119,0.26892,0.80933,1.73732,1.16802,0.0009505,0.0009505,0.0009505
7,422.346,0.84073,1.75998,1.1634,0.3364,0.47424,0.38252,0.29447,0.80884,1.59815,1.16979,0.0009406,0.0009406,0.0009406
8,481.186,0.83192,1.70401,1.15455,0.35795,0.47463,0.40162,0.3098,0.79013,1.62699,1.14096,0.0009307,0.0009307,0.0009307
9,539.916,0.80294,1.67626,1.13295,0.35728,0.51957,0.43824,0.34339,0.78837,1.51111,1.15108,0.0009208,0.0009208,0.0009208
10,598.571,0.77059,1.60648,1.11787,0.43531,0.54763,0.47677,0.38615,0.73395,1.43185,1.09083,0.0009109,0.0009109,0.0009109
11,658.896,0.77254,1.56943,1.11289,0.44989,0.47955,0.52391,0.42198,0.73451,1.4436,1.07872,0.000901,0.000901,0.000901
12,717.583,0.76219,1.51202,1.10661,0.47709,0.54709,0.55544,0.45524,0.73768,1.369,1.0789,0.0008911,0.0008911,0.0008911
13,776.084,0.75621,1.44895,1.10828,0.57771,0.54694,0.58879,0.48191,0.71713,1.24545,1.07171,0.0008812,0.0008812,0.0008812
14,834.598,0.7389,1.39141,1.09245,0.61621,0.62443,0.65591,0.52113,0.79175,1.13838,1.13675,0.0008713,0.0008713,0.0008713
15,892.879,0.72522,1.30113,1.0838,0.67616,0.67416,0.722,0.59419,0.73467,0.97721,1.08287,0.0008614,0.0008614,0.0008614
16,951.521,0.72654,1.27228,1.08294,0.72647,0.64907,0.7329,0.60319,0.72745,1.05701,1.07995,0.0008515,0.0008515,0.0008515
17,1010.31,0.72689,1.22931,1.08006,0.71366,0.67787,0.74801,0.61864,0.72822,0.9472,1.07692,0.0008416,0.0008416,0.0008416
18,1068.92,0.71547,1.20748,1.07657,0.81973,0.71544,0.80683,0.67698,0.70536,0.83845,1.05789,0.0008317,0.0008317,0.0008317
19,1127.57,0.71209,1.14465,1.07065,0.82843,0.72485,0.80756,0.67364,0.70593,0.84143,1.05576,0.0008218,0.0008218,0.0008218
20,1186.19,0.70959,1.1302,1.076,0.75129,0.71941,0.79013,0.65455,0.69765,0.88801,1.05081,0.0008119,0.0008119,0.0008119
21,1247.85,0.69506,1.09889,1.06263,0.88464,0.72065,0.83936,0.71191,0.67054,0.73958,1.03043,0.000802,0.000802,0.000802
22,1307.83,0.68235,1.07985,1.05298,0.85586,0.74323,0.84253,0.7153,0.67083,0.71458,1.02806,0.0007921,0.0007921,0.0007921
23,1366.77,0.69423,1.05984,1.06452,0.84999,0.75815,0.84832,0.70975,0.68967,0.72052,1.03648,0.0007822,0.0007822,0.0007822
24,1425.77,0.68797,1.06245,1.05746,0.83932,0.79914,0.86313,0.73387,0.66427,0.65679,1.02547,0.0007723,0.0007723,0.0007723
25,1484.58,0.68487,1.0271,1.05781,0.85844,0.77574,0.85217,0.72425,0.67635,0.6996,1.0235,0.0007624,0.0007624,0.0007624
26,1543.6,0.6655,0.99327,1.04485,0.87879,0.7835,0.8641,0.72645,0.67633,0.67852,1.02063,0.0007525,0.0007525,0.0007525
27,1602.41,0.66338,0.98684,1.04541,0.89427,0.78552,0.87876,0.7433,0.65906,0.64164,1.01251,0.0007426,0.0007426,0.0007426
28,1661.08,0.674,0.98721,1.04645,0.88164,0.80125,0.88019,0.73874,0.66732,0.65326,1.02491,0.0007327,0.0007327,0.0007327
29,1719.68,0.67207,0.96926,1.045,0.85674,0.79255,0.87531,0.73881,0.6626,0.6453,1.0199,0.0007228,0.0007228,0.0007228
30,1778.58,0.66198,0.94596,1.03835,0.91172,0.79375,0.89085,0.75325,0.64626,0.57855,1.01075,0.0007129,0.0007129,0.0007129
31,1837.23,0.65114,0.933,1.03607,0.9039,0.7975,0.88654,0.74823,0.65835,0.62667,1.01574,0.000703,0.000703,0.000703
32,1896.37,0.65762,0.92784,1.03731,0.91003,0.82113,0.90506,0.75899,0.6651,0.58403,1.02071,0.0006931,0.0006931,0.0006931
33,1955.75,0.66523,0.91172,1.04303,0.87976,0.82005,0.89495,0.74796,0.66438,0.57884,1.01921,0.0006832,0.0006832,0.0006832
34,2014.73,0.65542,0.91824,1.04161,0.8954,0.8221,0.89995,0.76249,0.64064,0.57337,1.00881,0.0006733,0.0006733,0.0006733
35,2073.61,0.64617,0.90892,1.03509,0.89789,0.83174,0.90391,0.77122,0.64657,0.55467,0.99949,0.0006634,0.0006634,0.0006634
36,2133.36,0.64653,0.87053,1.02909,0.92259,0.81731,0.90539,0.76835,0.63708,0.54402,0.99736,0.0006535,0.0006535,0.0006535
37,2192.63,0.63892,0.86698,1.03097,0.89674,0.85135,0.91411,0.77743,0.63719,0.5588,0.98916,0.0006436,0.0006436,0.0006436
38,2251.64,0.63504,0.87115,1.02746,0.94195,0.82918,0.91935,0.7748,0.63505,0.54529,0.99994,0.0006337,0.0006337,0.0006337
39,2310.56,0.64114,0.88655,1.0281,0.95555,0.80487,0.91796,0.77812,0.63459,0.5326,0.99695,0.0006238,0.0006238,0.0006238
40,2369.65,0.63597,0.86491,1.02696,0.91325,0.82477,0.91268,0.77564,0.63417,0.53763,0.99658,0.0006139,0.0006139,0.0006139
41,2428.81,0.62238,0.8533,1.01949,0.90142,0.84412,0.91697,0.77222,0.64683,0.53238,0.99823,0.000604,0.000604,0.000604
42,2487.62,0.61929,0.82512,1.01708,0.92739,0.83864,0.91841,0.77713,0.63306,0.52776,0.99515,0.0005941,0.0005941,0.0005941
43,2546.37,0.6196,0.81262,1.01266,0.9543,0.81713,0.92138,0.78417,0.63107,0.51343,0.99712,0.0005842,0.0005842,0.0005842
44,2605.23,0.62447,0.82114,1.01714,0.93199,0.84611,0.92064,0.77621,0.6378,0.53896,0.99938,0.0005743,0.0005743,0.0005743
45,2664.3,0.6156,0.83355,1.0153,0.95227,0.8471,0.93292,0.79067,0.62331,0.48747,0.98539,0.0005644,0.0005644,0.0005644
46,2722.82,0.62799,0.82101,1.01844,0.95465,0.83324,0.92591,0.78294,0.63585,0.5058,0.99407,0.0005545,0.0005545,0.0005545
47,2781.88,0.61581,0.8082,1.01478,0.93463,0.84888,0.93091,0.78939,0.61904,0.49306,0.98634,0.0005446,0.0005446,0.0005446
48,2840.72,0.60865,0.79337,1.01407,0.9439,0.84427,0.93276,0.79153,0.61038,0.47902,0.98447,0.0005347,0.0005347,0.0005347
49,2899.66,0.60872,0.81159,1.01631,0.90848,0.87681,0.92951,0.7841,0.6333,0.48677,0.99693,0.0005248,0.0005248,0.0005248
50,2958.81,0.60675,0.78483,1.00968,0.94466,0.85138,0.93733,0.7962,0.61952,0.47285,0.99053,0.0005149,0.0005149,0.0005149
51,3017.95,0.6055,0.79849,1.01333,0.9267,0.8563,0.92888,0.78716,0.6161,0.48881,0.98058,0.000505,0.000505,0.000505
52,3076.82,0.59862,0.7733,1.00966,0.92507,0.86304,0.93043,0.79814,0.61922,0.45938,0.98984,0.0004951,0.0004951,0.0004951
53,3135.46,0.59716,0.763,1.00246,0.91891,0.87272,0.93204,0.80018,0.60644,0.45124,0.97652,0.0004852,0.0004852,0.0004852
54,3193.91,0.60389,0.74845,1.00564,0.91938,0.88117,0.93526,0.80009,0.6031,0.46308,0.97353,0.0004753,0.0004753,0.0004753
55,3252.42,0.59723,0.75771,1.00993,0.92539,0.8621,0.93182,0.80036,0.60961,0.47133,0.97906,0.0004654,0.0004654,0.0004654
56,3310.96,0.59058,0.75225,1.00639,0.92282,0.87641,0.93814,0.79799,0.60127,0.45332,0.97367,0.0004555,0.0004555,0.0004555
57,3370.05,0.59321,0.74714,1.00274,0.92339,0.87366,0.93918,0.80546,0.60739,0.45282,0.98181,0.0004456,0.0004456,0.0004456
58,3428.93,0.58497,0.74301,0.99955,0.94024,0.87883,0.94182,0.80143,0.60912,0.45926,0.97967,0.0004357,0.0004357,0.0004357
59,3487.77,0.60314,0.74739,1.00351,0.94805,0.87961,0.94526,0.80754,0.59814,0.43805,0.97255,0.0004258,0.0004258,0.0004258
